NMec = 98495
T = 23
P = 8
Profits not ignored
Solution time = 3.301e-02
Best Profit = 31752
Terminal Cases = 3288922
Task date  Profit    P
  0   17    1305     0   
  0   19    2823     1   
  1   11    1011     2   
  1   22    2453     3   
  1   26    2162     4   
  2   24    4160     5   
  3   17    4316     6   
  4   11    677      7   
  5   22    1878     -1  
  6   16    2723     -1  
  6   27    4301     -1  
  8   28    3447     -1  
  9   27    1136     -1  
  11  24    2383     -1  
  12  14    455      2   
  12  19    2005     7   
  12  26    2609     -1  
  13  22    2414     -1  
  13  23    2867     -1  
  15  22    1759     2   
  17  26    2083     -1  
  19  24    450      0   
  25  28    285      0   
End
