NMec = 98491
T = 33
P = 8
Profits ignored
Solution time = 1.721e+01
Programing Tasks = 22
Terminal Cases = 9
Task date  Profit    P
  0   19    1        -1  
  1   4     1        0   
  1   38    1        -1  
  1   41    1        -1  
  2   11    1        1   
  2   39    1        -1  
  4   19    1        2   
  5   20    1        0   
  5   41    1        -1  
  6   21    1        3   
  7   14    1        4   
  7   31    1        -1  
  9   28    1        -1  
  10  12    1        5   
  12  17    1        1   
  12  38    1        -1  
  13  21    1        5   
  13  26    1        6   
  14  35    1        -1  
  15  27    1        -1  
  16  27    1        -1  
  17  18    1        4   
  17  23    1        7   
  19  35    1        1   
  20  36    1        2   
  21  27    1        0   
  21  32    1        4   
  23  37    1        3   
  25  41    1        5   
  26  32    1        7   
  27  30    1        6   
  31  35    1        0   
  31  40    1        6   
End
