NMec = 98491
T = 36
P = 2
Profits ignored
Solution time = 2.943e+00
Programing Tasks = 19
Terminal Cases = 11232
Task date  Profit    P
  13  16    1        0   
  21  28    1        0   
  26  36    1        -1  
  27  42    1        -1  
  27  179   1        -1  
  28  37    1        -1  
  30  41    1        -1  
  34  46    1        0   
  36  45    1        1   
  53  64    1        0   
  70  85    1        -1  
  78  91    1        -1  
  81  88    1        -1  
  85  91    1        0   
  85  94    1        1   
  90  157   1        -1  
  92  97    1        -1  
  93  107   1        0   
  95  100   1        1   
  104 122   1        -1  
  107 122   1        -1  
  110 118   1        -1  
  111 115   1        0   
  111 136   1        -1  
  112 114   1        1   
  116 133   1        -1  
  117 120   1        0   
  123 139   1        0   
  125 136   1        1   
  140 147   1        0   
  142 154   1        1   
  149 158   1        -1  
  150 159   1        0   
  156 176   1        -1  
  158 171   1        1   
  162 176   1        0   
End
