NMec = 98491
T = 36
P = 6
Profits ignored
Solution time = 1.239e+02
Programing Tasks = 25
Terminal Cases = 52
Task date  Profit    P
  0   12    1        0   
  1   13    1        1   
  1   24    1        -1  
  3   13    1        2   
  5   19    1        -1  
  6   24    1        -1  
  6   26    1        -1  
  7   14    1        3   
  8   12    1        4   
  9   57    1        -1  
  11  22    1        5   
  12  36    1        -1  
  13  32    1        0   
  14  30    1        1   
  16  31    1        2   
  18  22    1        3   
  18  31    1        4   
  19  58    1        -1  
  22  38    1        -1  
  22  40    1        -1  
  24  28    1        3   
  24  36    1        5   
  31  47    1        -1  
  32  39    1        -1  
  32  41    1        1   
  35  46    1        0   
  36  40    1        2   
  36  44    1        3   
  37  42    1        4   
  37  45    1        5   
  41  53    1        2   
  47  54    1        0   
  49  56    1        1   
  50  52    1        3   
  50  55    1        4   
  51  59    1        5   
End
