NMec = 98491
T = 34
P = 2
Profits ignored
Solution time = 4.443e-01
Programing Tasks = 19
Terminal Cases = 72
Task date  Profit    P
  3   146   1        -1  
  4   12    1        0   
  19  157   1        -1  
  21  26    1        0   
  22  41    1        -1  
  26  41    1        1   
  36  50    1        0   
  40  61    1        -1  
  42  51    1        1   
  48  154   1        -1  
  51  57    1        -1  
  53  75    1        -1  
  54  65    1        0   
  55  60    1        1   
  62  84    1        -1  
  66  73    1        -1  
  66  76    1        -1  
  66  87    1        -1  
  67  79    1        0   
  69  77    1        1   
  78  90    1        1   
  81  88    1        0   
  86  124   1        -1  
  89  106   1        -1  
  90  108   1        0   
  102 111   1        1   
  120 139   1        0   
  138 150   1        1   
  139 161   1        -1  
  140 146   1        0   
  144 169   1        -1  
  154 156   1        0   
  154 164   1        1   
  157 162   1        0   
End
