NMec = 98491
T = 31
P = 5
Profits ignored
Solution time = 1.933e+00
Programing Tasks = 19
Terminal Cases = 840
Task date  Profit    P
  1   60    1        -1  
  3   21    1        -1  
  3   24    1        -1  
  5   22    1        -1  
  6   16    1        0   
  9   60    1        -1  
  10  21    1        1   
  11  19    1        2   
  13  22    1        3   
  13  23    1        4   
  16  43    1        -1  
  22  44    1        -1  
  24  36    1        0   
  26  41    1        1   
  26  45    1        -1  
  29  35    1        2   
  31  52    1        -1  
  34  39    1        3   
  34  45    1        4   
  36  53    1        -1  
  40  51    1        0   
  41  47    1        2   
  41  54    1        -1  
  43  48    1        1   
  44  47    1        3   
  46  54    1        -1  
  48  55    1        2   
  48  61    1        3   
  50  57    1        1   
  50  60    1        4   
  52  54    1        0   
End
