NMec = 98491
T = 36
P = 7
Profits ignored
Solution time = 9.478e+01
Programing Tasks = 21
Terminal Cases = 11472
Task date  Profit    P
  2   22    1        -1  
  4   23    1        -1  
  5   26    1        -1  
  6   16    1        0   
  6   18    1        1   
  6   25    1        -1  
  6   33    1        -1  
  7   21    1        -1  
  7   25    1        -1  
  8   19    1        2   
  10  28    1        3   
  11  26    1        4   
  12  18    1        5   
  13  27    1        6   
  13  46    1        -1  
  17  33    1        -1  
  18  31    1        0   
  19  21    1        1   
  19  37    1        5   
  20  41    1        -1  
  21  38    1        -1  
  22  29    1        1   
  23  38    1        -1  
  24  45    1        -1  
  26  35    1        2   
  28  49    1        -1  
  29  43    1        -1  
  29  46    1        3   
  30  39    1        1   
  31  34    1        4   
  31  45    1        6   
  37  41    1        0   
  37  44    1        2   
  38  45    1        4   
  38  51    1        5   
  40  50    1        1   
End
