NMec = 98491
T = 35
P = 5
Profits ignored
Solution time = 8.418e+00
Programing Tasks = 21
Terminal Cases = 24
Task date  Profit    P
  1   7     1        0   
  3   14    1        1   
  3   67    1        -1  
  6   18    1        2   
  7   18    1        3   
  7   43    1        -1  
  9   17    1        0   
  17  28    1        1   
  17  28    1        4   
  17  35    1        -1  
  18  26    1        0   
  18  67    1        -1  
  20  68    1        -1  
  23  37    1        2   
  24  36    1        3   
  27  52    1        -1  
  31  38    1        0   
  32  42    1        1   
  32  58    1        -1  
  33  45    1        4   
  34  55    1        -1  
  37  51    1        -1  
  37  51    1        -1  
  39  51    1        -1  
  40  56    1        -1  
  41  43    1        0   
  41  44    1        2   
  41  58    1        -1  
  43  56    1        -1  
  43  63    1        1   
  44  53    1        0   
  44  60    1        3   
  47  66    1        2   
  51  65    1        4   
  55  57    1        0   
End
