NMec = 98491
T = 33
P = 4
Profits ignored
Solution time = 4.328e+00
Programing Tasks = 21
Terminal Cases = 40
Task date  Profit    P
  0   23    1        -1  
  2   21    1        0   
  9   13    1        1   
  10  14    1        2   
  11  46    1        -1  
  13  19    1        3   
  14  32    1        -1  
  20  28    1        1   
  20  29    1        2   
  20  32    1        3   
  27  42    1        -1  
  29  37    1        0   
  29  39    1        1   
  29  46    1        -1  
  30  46    1        -1  
  31  48    1        2   
  31  59    1        -1  
  34  43    1        3   
  35  51    1        -1  
  40  51    1        0   
  42  59    1        1   
  44  67    1        -1  
  48  68    1        -1  
  50  55    1        2   
  50  61    1        3   
  53  67    1        -1  
  59  67    1        0   
  59  70    1        -1  
  59  72    1        2   
  61  81    1        1   
  63  75    1        3   
  69  81    1        0   
  73  77    1        2   
End
