NMec = 98491
T = 30
P = 4
Profits ignored
Solution time = 3.983e-01
Programing Tasks = 19
Terminal Cases = 53
Task date  Profit    P
  0   2     1        0   
  0   49    1        -1  
  1   8     1        1   
  3   26    1        0   
  4   15    1        2   
  7   67    1        -1  
  16  37    1        -1  
  16  59    1        -1  
  22  38    1        1   
  22  41    1        -1  
  27  46    1        -1  
  28  31    1        0   
  28  35    1        2   
  31  43    1        3   
  32  41    1        0   
  33  71    1        -1  
  36  49    1        2   
  38  57    1        -1  
  40  54    1        1   
  42  61    1        -1  
  48  50    1        0   
  49  72    1        -1  
  50  57    1        2   
  55  72    1        -1  
  56  67    1        0   
  57  58    1        1   
  57  62    1        3   
  60  73    1        1   
  61  66    1        2   
  63  73    1        3   
End
