NMec = 98491
T = 28
P = 6
Profits ignored
Solution time = 2.452e-01
Programing Tasks = 18
Terminal Cases = 2
Task date  Profit    P
  0   45    1        -1  
  0   46    1        -1  
  3   11    1        0   
  3   27    1        -1  
  4   22    1        1   
  4   29    1        -1  
  5   44    1        -1  
  6   21    1        2   
  6   28    1        -1  
  8   16    1        3   
  8   25    1        -1  
  9   13    1        4   
  11  22    1        5   
  12  44    1        -1  
  18  25    1        0   
  19  28    1        3   
  19  34    1        -1  
  20  23    1        4   
  22  37    1        -1  
  24  29    1        1   
  24  33    1        2   
  24  37    1        4   
  25  31    1        5   
  30  38    1        0   
  31  39    1        1   
  31  43    1        3   
  36  46    1        2   
  37  40    1        5   
End
