NMec = 98491
T = 31
P = 8
Profits ignored
Solution time = 1.694e+00
Programing Tasks = 17
Terminal Cases = 9202
Task date  Profit    P
  0   15    1        0   
  1   23    1        -1  
  3   17    1        1   
  5   18    1        2   
  5   19    1        3   
  6   24    1        -1  
  8   17    1        4   
  11  22    1        5   
  12  24    1        -1  
  12  30    1        -1  
  13  33    1        -1  
  14  21    1        6   
  15  24    1        -1  
  15  24    1        -1  
  16  24    1        -1  
  17  31    1        -1  
  18  23    1        -1  
  18  35    1        -1  
  18  38    1        -1  
  19  26    1        -1  
  19  27    1        -1  
  19  37    1        0   
  20  27    1        1   
  21  28    1        2   
  21  28    1        3   
  21  31    1        4   
  21  36    1        7   
  22  28    1        6   
  23  30    1        5   
  30  36    1        1   
  30  37    1        2   
End
