NMec = 98491
T = 35
P = 8
Profits ignored
Solution time = 5.004e+01
Programing Tasks = 22
Terminal Cases = 5931
Task date  Profit    P
  0   23    1        -1  
  0   42    1        -1  
  1   33    1        -1  
  2   3     1        0   
  2   24    1        -1  
  2   27    1        -1  
  3   21    1        -1  
  4   8     1        0   
  8   23    1        -1  
  9   16    1        -1  
  9   35    1        -1  
  10  22    1        -1  
  11  18    1        -1  
  11  21    1        0   
  11  37    1        -1  
  12  22    1        1   
  14  24    1        2   
  14  30    1        3   
  15  19    1        4   
  15  20    1        5   
  15  27    1        6   
  15  34    1        -1  
  16  18    1        7   
  19  24    1        7   
  20  32    1        4   
  22  32    1        0   
  22  35    1        5   
  27  37    1        1   
  28  42    1        2   
  29  34    1        6   
  29  41    1        7   
  31  42    1        3   
  34  39    1        0   
  34  43    1        4   
  40  43    1        0   
End
