NMec = 98491
T = 35
P = 3
Profits ignored
Solution time = 1.117e+00
Programing Tasks = 18
Terminal Cases = 6364
Task date  Profit    P
  2   15    1        0   
  7   13    1        1   
  10  83    1        -1  
  11  23    1        2   
  11  70    1        -1  
  15  59    1        -1  
  15  96    1        -1  
  22  35    1        0   
  23  48    1        -1  
  25  46    1        -1  
  30  55    1        -1  
  31  77    1        -1  
  33  100   1        -1  
  35  44    1        -1  
  36  40    1        -1  
  37  45    1        0   
  37  48    1        1   
  40  42    1        2   
  44  62    1        2   
  47  56    1        0   
  57  75    1        -1  
  63  68    1        -1  
  64  72    1        0   
  66  76    1        1   
  67  70    1        2   
  69  83    1        -1  
  77  85    1        -1  
  79  98    1        -1  
  80  94    1        -1  
  82  87    1        0   
  82  96    1        1   
  83  85    1        2   
  92  96    1        0   
  93  105   1        2   
  98  101   1        0   
End
