NMec = 98491
T = 37
P = 1
Profits ignored
Solution time = 1.353e-01
Programing Tasks = 17
Terminal Cases = 720
Task date  Profit    P
  11  12    1        -1  
  11  18    1        0   
  15  306   1        -1  
  20  28    1        -1  
  21  324   1        -1  
  26  44    1        0   
  45  66    1        0   
  67  332   1        -1  
  71  90    1        -1  
  73  89    1        -1  
  76  89    1        0   
  93  103   1        0   
  103 362   1        -1  
  106 112   1        0   
  113 134   1        -1  
  113 134   1        -1  
  120 131   1        0   
  137 150   1        0   
  138 287   1        -1  
  165 168   1        0   
  166 189   1        -1  
  172 176   1        0   
  178 190   1        0   
  180 324   1        -1  
  212 222   1        -1  
  217 230   1        -1  
  220 228   1        -1  
  220 245   1        0   
  257 282   1        -1  
  274 301   1        0   
  300 309   1        -1  
  307 329   1        0   
  318 333   1        -1  
  330 345   1        0   
  343 352   1        -1  
  347 355   1        0   
  359 367   1        0   
End
