NMec = 98491
T = 27
P = 5
Profits ignored
Solution time = 3.610e-01
Programing Tasks = 18
Terminal Cases = 1660
Task date  Profit    P
  0   10    1        0   
  0   11    1        1   
  0   40    1        -1  
  1   17    1        -1  
  1   24    1        -1  
  2   9     1        2   
  3   4     1        3   
  3   19    1        -1  
  8   18    1        3   
  10  14    1        2   
  13  22    1        0   
  14  26    1        1   
  15  20    1        2   
  16  26    1        4   
  20  45    1        -1  
  23  40    1        -1  
  25  38    1        -1  
  25  41    1        0   
  26  44    1        -1  
  28  44    1        -1  
  32  38    1        1   
  32  41    1        2   
  33  48    1        3   
  33  53    1        4   
  39  53    1        1   
  42  45    1        0   
  43  53    1        2   
End
