NMec = 98491
T = 37
P = 3
Profits ignored
Solution time = 1.120e+01
Programing Tasks = 22
Terminal Cases = 678
Task date  Profit    P
  0   121   1        -1  
  5   27    1        0   
  7   16    1        1   
  14  35    1        -1  
  23  35    1        1   
  24  73    1        -1  
  26  37    1        2   
  33  47    1        -1  
  35  44    1        0   
  40  49    1        1   
  43  50    1        2   
  44  93    1        -1  
  46  49    1        0   
  48  65    1        -1  
  53  65    1        -1  
  56  67    1        -1  
  57  109   1        -1  
  59  67    1        0   
  61  63    1        1   
  61  75    1        2   
  64  86    1        -1  
  65  107   1        -1  
  68  74    1        0   
  69  74    1        1   
  72  85    1        -1  
  75  91    1        -1  
  76  93    1        -1  
  78  87    1        0   
  78  87    1        1   
  79  86    1        2   
  89  90    1        0   
  89  93    1        1   
  89  107   1        -1  
  91  116   1        0   
  95  110   1        1   
  106 108   1        2   
  111 115   1        1   
End
