NMec = 98491
T = 37
P = 5
Profits ignored
Solution time = 1.197e+02
Programing Tasks = 23
Terminal Cases = 7609
Task date  Profit    P
  1   13    1        0   
  2   6     1        1   
  2   70    1        -1  
  6   47    1        -1  
  12  23    1        -1  
  12  26    1        -1  
  13  24    1        -1  
  14  26    1        -1  
  16  26    1        -1  
  18  19    1        0   
  18  26    1        1   
  18  27    1        2   
  19  40    1        -1  
  20  28    1        -1  
  20  29    1        0   
  20  41    1        3   
  23  34    1        4   
  27  39    1        1   
  28  43    1        2   
  37  47    1        -1  
  38  49    1        0   
  40  54    1        -1  
  41  48    1        1   
  42  55    1        3   
  43  52    1        4   
  44  56    1        2   
  45  72    1        -1  
  46  62    1        -1  
  46  68    1        -1  
  50  58    1        0   
  52  60    1        1   
  55  68    1        4   
  56  73    1        3   
  58  68    1        2   
  59  62    1        0   
  61  72    1        1   
  65  72    1        0   
End
