NMec = 98491
T = 39
P = 4
Profits ignored
Solution time = 9.323e+01
Programing Tasks = 20
Terminal Cases = 324714
Task date  Profit    P
  1   15    1        -1  
  3   18    1        0   
  7   27    1        1   
  9   20    1        2   
  11  24    1        3   
  11  31    1        -1  
  14  30    1        -1  
  15  93    1        -1  
  17  44    1        -1  
  23  35    1        -1  
  24  33    1        -1  
  24  35    1        0   
  24  49    1        -1  
  25  37    1        2   
  27  32    1        3   
  27  78    1        -1  
  30  46    1        1   
  33  48    1        3   
  39  53    1        0   
  42  52    1        2   
  52  68    1        -1  
  52  85    1        -1  
  53  65    1        -1  
  53  71    1        -1  
  55  69    1        -1  
  57  75    1        -1  
  58  72    1        0   
  59  64    1        1   
  59  70    1        2   
  60  66    1        3   
  69  82    1        1   
  71  90    1        -1  
  71  94    1        -1  
  77  90    1        -1  
  77  95    1        -1  
  81  93    1        0   
  81  94    1        2   
  83  91    1        1   
  87  95    1        3   
End
