NMec = 98491
T = 27
P = 3
Profits ignored
Solution time = 1.835e-02
Programing Tasks = 14
Terminal Cases = 441
Task date  Profit    P
  0   86    1        -1  
  2   12    1        0   
  2   84    1        -1  
  5   13    1        1   
  5   27    1        2   
  7   72    1        -1  
  10  29    1        -1  
  13  15    1        0   
  23  47    1        -1  
  24  26    1        0   
  26  75    1        -1  
  28  34    1        -1  
  28  38    1        0   
  28  40    1        1   
  28  43    1        2   
  40  48    1        0   
  50  56    1        0   
  56  74    1        -1  
  57  71    1        0   
  59  77    1        -1  
  60  78    1        -1  
  62  81    1        -1  
  64  79    1        -1  
  66  86    1        -1  
  67  81    1        1   
  73  87    1        0   
  74  77    1        2   
End
