NMec = 98491
T = 32
P = 1
Profits ignored
Solution time = 8.281e-03
Programing Tasks = 15
Terminal Cases = 25
Task date  Profit    P
  0   316   1        -1  
  39  49    1        -1  
  45  54    1        -1  
  47  56    1        0   
  50  63    1        -1  
  54  69    1        -1  
  59  69    1        -1  
  61  66    1        0   
  66  85    1        -1  
  68  77    1        0   
  71  258   1        -1  
  73  141   1        -1  
  102 116   1        0   
  140 153   1        0   
  157 166   1        0   
  164 185   1        -1  
  175 186   1        0   
  186 197   1        -1  
  189 193   1        0   
  193 209   1        -1  
  197 210   1        0   
  210 233   1        -1  
  213 224   1        0   
  220 245   1        -1  
  230 233   1        0   
  239 252   1        0   
  258 266   1        0   
  270 283   1        -1  
  271 275   1        0   
  276 297   1        -1  
  290 307   1        -1  
  295 315   1        0   
End
