NMec = 98491
T = 28
P = 5
Profits ignored
Solution time = 1.323e-01
Programing Tasks = 17
Terminal Cases = 30
Task date  Profit    P
  2   14    1        0   
  2   17    1        -1  
  2   28    1        -1  
  3   20    1        -1  
  4   13    1        1   
  5   49    1        -1  
  6   20    1        -1  
  6   21    1        -1  
  6   32    1        -1  
  7   16    1        2   
  7   31    1        -1  
  10  24    1        3   
  10  26    1        -1  
  10  48    1        -1  
  12  21    1        4   
  14  22    1        1   
  16  30    1        0   
  20  31    1        2   
  20  42    1        -1  
  22  37    1        4   
  25  33    1        1   
  25  35    1        3   
  31  40    1        0   
  32  50    1        2   
  35  38    1        1   
  36  53    1        3   
  44  53    1        0   
  46  54    1        1   
End
