NMec = 98491
T = 38
P = 5
Profits ignored
Solution time = 9.688e+01
Programing Tasks = 24
Terminal Cases = 351
Task date  Profit    P
  1   18    1        0   
  1   65    1        -1  
  3   12    1        1   
  4   51    1        -1  
  6   27    1        -1  
  6   73    1        -1  
  8   22    1        2   
  15  23    1        1   
  16  28    1        -1  
  17  22    1        3   
  17  58    1        -1  
  18  29    1        4   
  18  31    1        -1  
  19  31    1        0   
  21  40    1        -1  
  23  50    1        -1  
  24  35    1        -1  
  26  28    1        1   
  27  33    1        2   
  27  38    1        3   
  29  36    1        1   
  29  49    1        -1  
  30  39    1        4   
  33  42    1        0   
  36  43    1        2   
  39  48    1        1   
  39  56    1        3   
  40  50    1        4   
  45  71    1        -1  
  47  65    1        -1  
  48  60    1        -1  
  50  68    1        0   
  53  62    1        1   
  56  61    1        2   
  58  72    1        3   
  59  73    1        4   
  66  74    1        1   
  68  75    1        2   
End
