NMec = 98491
T = 30
P = 6
Profits ignored
Solution time = 4.775e-01
Programing Tasks = 17
Terminal Cases = 468
Task date  Profit    P
  0   21    1        -1  
  0   43    1        -1  
  1   22    1        0   
  5   29    1        1   
  7   17    1        2   
  7   31    1        -1  
  8   49    1        -1  
  10  17    1        3   
  10  18    1        4   
  11  17    1        5   
  12  31    1        -1  
  12  32    1        -1  
  15  37    1        -1  
  15  38    1        -1  
  16  38    1        -1  
  18  25    1        2   
  18  31    1        -1  
  18  42    1        -1  
  21  37    1        -1  
  22  31    1        3   
  23  37    1        -1  
  24  33    1        0   
  30  34    1        1   
  30  39    1        2   
  30  44    1        4   
  31  36    1        5   
  33  39    1        3   
  36  47    1        0   
  36  48    1        1   
  38  48    1        5   
End
