NMec = 98491
T = 32
P = 4
Profits ignored
Solution time = 5.279e-01
Programing Tasks = 16
Terminal Cases = 848
Task date  Profit    P
  1   9     1        0   
  5   29    1        1   
  5   31    1        2   
  6   40    1        3   
  7   18    1        -1  
  10  31    1        0   
  13  24    1        -1  
  13  25    1        -1  
  14  69    1        -1  
  15  22    1        -1  
  16  32    1        -1  
  16  38    1        -1  
  19  33    1        -1  
  23  47    1        -1  
  27  46    1        -1  
  28  52    1        -1  
  31  41    1        1   
  35  40    1        0   
  37  52    1        2   
  37  59    1        -1  
  38  47    1        -1  
  39  49    1        -1  
  40  54    1        -1  
  41  50    1        0   
  42  54    1        1   
  42  57    1        3   
  43  47    1        -1  
  45  60    1        -1  
  47  72    1        -1  
  48  70    1        -1  
  59  66    1        0   
  73  77    1        0   
End
