NMec = 98491
T = 30
P = 5
Profits ignored
Solution time = 2.874e-01
Programing Tasks = 17
Terminal Cases = 12
Task date  Profit    P
  2   35    1        -1  
  3   12    1        -1  
  3   50    1        -1  
  7   15    1        0   
  7   16    1        1   
  8   12    1        2   
  9   32    1        -1  
  9   36    1        -1  
  10  13    1        3   
  10  23    1        -1  
  11  15    1        4   
  11  28    1        -1  
  11  30    1        -1  
  11  32    1        -1  
  14  23    1        2   
  14  31    1        3   
  17  31    1        0   
  19  37    1        -1  
  21  33    1        1   
  21  35    1        4   
  23  39    1        -1  
  24  30    1        2   
  26  48    1        -1  
  29  42    1        -1  
  34  49    1        0   
  35  42    1        1   
  35  46    1        2   
  35  56    1        3   
  38  51    1        4   
  43  50    1        1   
End
