NMec = 98491
T = 27
P = 7
Profits ignored
Solution time = 1.780e-01
Programing Tasks = 15
Terminal Cases = 6705
Task date  Profit    P
  0   13    1        -1  
  0   14    1        -1  
  0   15    1        -1  
  0   16    1        -1  
  1   12    1        0   
  1   22    1        -1  
  1   23    1        -1  
  1   35    1        -1  
  2   8     1        1   
  2   35    1        -1  
  3   13    1        2   
  4   29    1        -1  
  6   17    1        3   
  6   18    1        4   
  7   17    1        5   
  7   25    1        -1  
  7   32    1        -1  
  10  19    1        1   
  10  26    1        6   
  13  33    1        -1  
  15  36    1        0   
  16  34    1        2   
  18  36    1        3   
  21  37    1        1   
  23  34    1        4   
  24  38    1        5   
  30  36    1        6   
End
