NMec = 98491
T = 30
P = 2
Profits ignored
Solution time = 2.527e-02
Programing Tasks = 14
Terminal Cases = 1881
Task date  Profit    P
  4   137   1        -1  
  9   24    1        0   
  26  31    1        -1  
  26  33    1        -1  
  26  35    1        0   
  27  48    1        -1  
  29  42    1        -1  
  29  47    1        -1  
  31  35    1        1   
  34  46    1        -1  
  38  40    1        0   
  39  54    1        1   
  41  62    1        -1  
  54  67    1        -1  
  58  77    1        -1  
  59  62    1        -1  
  59  67    1        0   
  60  70    1        1   
  60  106   1        -1  
  81  91    1        -1  
  81  146   1        -1  
  86  92    1        0   
  88  93    1        1   
  91  108   1        -1  
  94  108   1        -1  
  100 111   1        0   
  108 111   1        1   
  113 119   1        0   
  113 125   1        1   
  125 134   1        0   
End
