NMec = 98491
T = 33
P = 5
Profits ignored
Solution time = 7.500e+00
Programing Tasks = 22
Terminal Cases = 1515
Task date  Profit    P
  1   42    1        -1  
  3   12    1        0   
  3   18    1        1   
  4   8     1        2   
  4   41    1        -1  
  5   20    1        -1  
  5   59    1        -1  
  8   55    1        -1  
  10  28    1        -1  
  11  19    1        2   
  15  22    1        0   
  15  24    1        3   
  16  20    1        4   
  19  26    1        1   
  19  34    1        -1  
  20  58    1        -1  
  24  38    1        -1  
  25  36    1        -1  
  25  41    1        0   
  30  43    1        1   
  31  39    1        2   
  31  46    1        3   
  32  33    1        4   
  39  54    1        -1  
  42  48    1        0   
  42  50    1        2   
  43  48    1        4   
  44  62    1        1   
  48  60    1        3   
  54  58    1        0   
  56  63    1        2   
  57  64    1        4   
  59  60    1        0   
End
