NMec = 98491
T = 31
P = 2
Profits ignored
Solution time = 1.459e-02
Programing Tasks = 14
Terminal Cases = 2196
Task date  Profit    P
  7   96    1        -1  
  8   104   1        -1  
  10  37    1        -1  
  13  129   1        -1  
  14  122   1        -1  
  17  109   1        -1  
  21  127   1        -1  
  22  30    1        -1  
  26  48    1        -1  
  27  35    1        0   
  30  53    1        1   
  32  61    1        -1  
  52  60    1        -1  
  52  64    1        -1  
  53  59    1        0   
  58  69    1        1   
  62  135   1        -1  
  72  85    1        0   
  79  81    1        1   
  84  92    1        -1  
  89  102   1        0   
  92  99    1        1   
  93  109   1        -1  
  102 106   1        1   
  104 109   1        0   
  121 134   1        -1  
  122 132   1        -1  
  126 135   1        0   
  129 147   1        1   
  150 153   1        0   
  150 154   1        1   
End
