NMec = 98491
T = 38
P = 6
Profits ignored
Solution time = 9.441e+01
Programing Tasks = 21
Terminal Cases = 11995
Task date  Profit    P
  0   62    1        -1  
  2   10    1        0   
  3   26    1        -1  
  5   9     1        1   
  11  20    1        0   
  11  29    1        -1  
  12  36    1        -1  
  13  63    1        -1  
  15  23    1        1   
  15  29    1        -1  
  15  29    1        -1  
  17  29    1        2   
  18  30    1        3   
  18  35    1        -1  
  18  41    1        -1  
  20  25    1        4   
  21  33    1        -1  
  22  33    1        -1  
  22  36    1        -1  
  23  24    1        0   
  23  39    1        -1  
  23  46    1        5   
  26  42    1        0   
  27  35    1        1   
  28  43    1        4   
  30  39    1        2   
  32  38    1        3   
  32  48    1        -1  
  36  47    1        -1  
  37  50    1        -1  
  38  43    1        1   
  40  48    1        -1  
  42  56    1        2   
  43  48    1        0   
  43  52    1        3   
  45  60    1        1   
  46  54    1        4   
  47  56    1        5   
End
