NMec = 98491
T = 31
P = 1
Profits ignored
Solution time = 6.466e-03
Programing Tasks = 12
Terminal Cases = 2880
Task date  Profit    P
  1   22    1        0   
  25  48    1        -1  
  34  128   1        -1  
  47  62    1        0   
  51  72    1        -1  
  59  67    1        -1  
  65  73    1        0   
  98  116   1        -1  
  99  112   1        -1  
  105 124   1        0   
  109 134   1        -1  
  113 132   1        -1  
  121 145   1        -1  
  125 136   1        0   
  150 164   1        -1  
  159 260   1        -1  
  162 174   1        0   
  182 196   1        -1  
  182 203   1        -1  
  184 195   1        -1  
  185 202   1        -1  
  190 200   1        0   
  206 210   1        0   
  214 227   1        -1  
  219 231   1        0   
  237 247   1        0   
  248 258   1        -1  
  258 260   1        0   
  286 307   1        -1  
  288 301   1        -1  
  299 303   1        0   
End
