NMec = 98491
T = 34
P = 6
Profits ignored
Solution time = 2.545e+01
Programing Tasks = 23
Terminal Cases = 90
Task date  Profit    P
  2   16    1        -1  
  3   13    1        0   
  3   27    1        -1  
  4   41    1        -1  
  6   17    1        1   
  7   54    1        -1  
  8   19    1        2   
  9   26    1        -1  
  10  11    1        3   
  10  16    1        4   
  10  24    1        -1  
  11  16    1        5   
  12  24    1        3   
  13  48    1        -1  
  18  23    1        0   
  18  37    1        -1  
  19  23    1        1   
  19  47    1        -1  
  20  28    1        2   
  21  28    1        4   
  23  31    1        5   
  28  36    1        -1  
  29  35    1        0   
  30  37    1        -1  
  30  44    1        1   
  32  43    1        2   
  33  34    1        3   
  34  37    1        4   
  34  44    1        5   
  35  43    1        3   
  36  47    1        0   
  39  43    1        4   
  45  56    1        1   
  46  55    1        2   
End
