NMec = 98491
T = 36
P = 4
Profits ignored
Solution time = 4.351e+00
Programing Tasks = 21
Terminal Cases = 428
Task date  Profit    P
  1   6     1        0   
  5   89    1        -1  
  6   62    1        -1  
  7   31    1        -1  
  8   86    1        -1  
  12  19    1        0   
  13  23    1        1   
  18  22    1        2   
  19  29    1        3   
  19  84    1        -1  
  22  45    1        -1  
  23  28    1        0   
  24  31    1        1   
  29  43    1        -1  
  29  44    1        -1  
  31  46    1        -1  
  31  53    1        -1  
  32  38    1        0   
  32  46    1        -1  
  33  41    1        1   
  34  89    1        -1  
  37  45    1        -1  
  38  42    1        2   
  38  42    1        3   
  40  56    1        -1  
  41  44    1        0   
  42  50    1        1   
  44  64    1        -1  
  46  55    1        0   
  49  56    1        2   
  51  59    1        1   
  51  74    1        3   
  60  73    1        0   
  65  82    1        1   
  72  85    1        2   
  78  79    1        0   
End
