NMec = 98491
T = 27
P = 1
Profits ignored
Solution time = 4.773e-03
Programing Tasks = 13
Terminal Cases = 144
Task date  Profit    P
  16  24    1        0   
  26  37    1        -1  
  28  40    1        -1  
  33  42    1        -1  
  35  44    1        0   
  46  57    1        -1  
  53  64    1        0   
  61  74    1        -1  
  63  74    1        -1  
  72  92    1        0   
  105 111   1        0   
  119 125   1        -1  
  122 132   1        -1  
  125 135   1        0   
  138 160   1        -1  
  141 149   1        -1  
  142 151   1        0   
  144 168   1        -1  
  161 176   1        0   
  184 197   1        0   
  199 208   1        0   
  199 222   1        -1  
  211 223   1        0   
  217 227   1        -1  
  226 236   1        0   
  229 250   1        -1  
  247 254   1        0   
End
