NMec = 98491
T = 40
P = 3
Profits ignored
Solution time = 1.082e+02
Programing Tasks = 23
Terminal Cases = 13536
Task date  Profit    P
  0   12    1        0   
  11  30    1        -1  
  15  26    1        0   
  17  28    1        1   
  21  33    1        2   
  21  47    1        -1  
  23  35    1        -1  
  24  88    1        -1  
  27  36    1        0   
  29  35    1        1   
  34  48    1        -1  
  35  48    1        2   
  37  51    1        -1  
  38  53    1        -1  
  39  54    1        -1  
  44  62    1        -1  
  46  57    1        0   
  48  69    1        1   
  51  56    1        2   
  57  66    1        2   
  62  112   1        -1  
  74  82    1        0   
  77  79    1        1   
  80  85    1        1   
  80  103   1        -1  
  83  105   1        -1  
  85  90    1        0   
  87  90    1        1   
  87  109   1        -1  
  90  102   1        -1  
  92  116   1        -1  
  93  102   1        -1  
  94  100   1        0   
  96  100   1        1   
  100 111   1        2   
  105 114   1        0   
  115 129   1        -1  
  116 122   1        0   
  117 122   1        1   
  117 133   1        2   
End
