NMec = 98491
T = 29
P = 1
Profits ignored
Solution time = 3.288e-03
Programing Tasks = 12
Terminal Cases = 576
Task date  Profit    P
  1   287   1        -1  
  13  28    1        -1  
  16  18    1        0   
  23  27    1        0   
  25  253   1        -1  
  35  55    1        -1  
  39  52    1        0   
  71  87    1        -1  
  81  253   1        -1  
  82  96    1        0   
  104 105   1        -1  
  105 108   1        0   
  108 119   1        -1  
  108 122   1        -1  
  112 131   1        -1  
  114 133   1        -1  
  115 117   1        0   
  138 160   1        -1  
  139 163   1        -1  
  148 164   1        0   
  172 178   1        -1  
  176 183   1        0   
  183 189   1        -1  
  184 195   1        0   
  215 225   1        -1  
  216 227   1        0   
  224 237   1        -1  
  236 243   1        0   
  265 273   1        0   
End
