NMec = 98491
T = 37
P = 2
Profits ignored
Solution time = 9.335e-01
Programing Tasks = 18
Terminal Cases = 36
Task date  Profit    P
  1   14    1        0   
  4   9     1        1   
  8   23    1        -1  
  14  25    1        1   
  18  158   1        0   
  20  152   1        -1  
  22  32    1        -1  
  25  88    1        -1  
  26  41    1        1   
  28  40    1        -1  
  31  40    1        -1  
  32  47    1        -1  
  33  40    1        -1  
  33  160   1        -1  
  45  179   1        1   
  48  55    1        -1  
  53  125   1        -1  
  68  91    1        -1  
  70  91    1        -1  
  80  184   1        -1  
  82  93    1        -1  
  102 128   1        -1  
  106 122   1        -1  
  108 119   1        -1  
  110 131   1        -1  
  112 146   1        -1  
  116 128   1        -1  
  116 133   1        -1  
  123 129   1        -1  
  127 135   1        -1  
  133 145   1        -1  
  142 163   1        -1  
  150 155   1        -1  
  155 170   1        -1  
  158 178   1        -1  
  165 177   1        0   
  167 171   1        -1  
End
