NMec = 98491
T = 30
P = 3
Profits ignored
Solution time = 6.947e-01
Programing Tasks = 18
Terminal Cases = 1830
Task date  Profit    P
  1   2     1        0   
  2   10    1        1   
  2   19    1        2   
  11  21    1        0   
  13  27    1        1   
  20  33    1        2   
  22  27    1        0   
  24  65    1        -1  
  26  39    1        -1  
  28  39    1        0   
  29  48    1        1   
  30  45    1        -1  
  32  51    1        -1  
  36  54    1        2   
  38  44    1        -1  
  42  50    1        0   
  45  64    1        -1  
  50  58    1        1   
  52  64    1        0   
  53  69    1        -1  
  54  69    1        -1  
  55  62    1        2   
  55  74    1        -1  
  57  68    1        -1  
  63  68    1        1   
  73  84    1        0   
  76  92    1        1   
  77  89    1        2   
  83  89    1        -1  
  84  94    1        -1  
End
