NMec = 98491
T = 28
P = 1
Profits ignored
Solution time = 5.456e-03
Programing Tasks = 14
Terminal Cases = 60
Task date  Profit    P
  4   16    1        0   
  4   277   1        -1  
  43  65    1        -1  
  44  52    1        0   
  53  66    1        0   
  56  78    1        -1  
  71  78    1        0   
  81  106   1        -1  
  85  88    1        0   
  104 114   1        -1  
  109 114   1        -1  
  112 120   1        0   
  124 129   1        0   
  142 155   1        -1  
  153 163   1        0   
  171 176   1        0   
  179 188   1        -1  
  186 195   1        0   
  195 209   1        -1  
  199 211   1        0   
  209 217   1        -1  
  209 253   1        -1  
  215 229   1        0   
  227 248   1        -1  
  244 250   1        0   
  249 271   1        -1  
  261 264   1        -1  
  263 267   1        0   
End
