NMec = 98491
T = 39
P = 5
Profits ignored
Solution time = 3.793e+02
Programing Tasks = 22
Terminal Cases = 258765
Task date  Profit    P
  2   8     1        0   
  2   11    1        1   
  2   12    1        2   
  2   15    1        3   
  2   17    1        4   
  2   20    1        -1  
  4   20    1        -1  
  5   19    1        -1  
  5   46    1        -1  
  6   38    1        -1  
  7   24    1        -1  
  8   22    1        -1  
  8   66    1        -1  
  13  30    1        0   
  17  40    1        1   
  21  64    1        2   
  22  33    1        3   
  23  40    1        4   
  25  34    1        -1  
  26  44    1        -1  
  30  42    1        -1  
  30  48    1        -1  
  35  42    1        0   
  35  45    1        3   
  35  46    1        -1  
  36  58    1        -1  
  37  76    1        -1  
  43  54    1        0   
  46  57    1        1   
  46  58    1        3   
  50  71    1        4   
  54  76    1        -1  
  55  65    1        0   
  57  70    1        -1  
  60  68    1        1   
  60  72    1        3   
  64  76    1        -1  
  65  72    1        2   
  71  77    1        0   
End
