NMec = 98491
T = 35
P = 7
Profits ignored
Solution time = 4.539e+01
Programing Tasks = 21
Terminal Cases = 39990
Task date  Profit    P
  0   13    1        0   
  0   49    1        -1  
  2   7     1        1   
  2   33    1        -1  
  3   18    1        -1  
  3   19    1        -1  
  4   9     1        2   
  8   21    1        -1  
  9   30    1        -1  
  10  22    1        -1  
  10  24    1        1   
  11  25    1        2   
  11  30    1        -1  
  12  46    1        -1  
  14  43    1        -1  
  16  21    1        0   
  16  29    1        3   
  16  34    1        -1  
  17  31    1        4   
  17  37    1        5   
  18  22    1        6   
  23  30    1        0   
  23  37    1        6   
  23  44    1        -1  
  24  46    1        -1  
  26  42    1        -1  
  30  36    1        1   
  30  39    1        2   
  30  40    1        3   
  31  41    1        0   
  34  38    1        4   
  37  49    1        1   
  38  40    1        5   
  38  42    1        6   
  40  49    1        2   
End
