NMec = 98491
T = 35
P = 2
Profits ignored
Solution time = 8.278e-01
Programing Tasks = 17
Terminal Cases = 2340
Task date  Profit    P
  5   27    1        -1  
  6   22    1        -1  
  13  23    1        -1  
  16  23    1        0   
  17  24    1        1   
  26  35    1        0   
  42  166   1        -1  
  45  54    1        0   
  45  65    1        -1  
  63  77    1        0   
  65  79    1        1   
  68  90    1        -1  
  77  87    1        -1  
  79  95    1        -1  
  82  96    1        0   
  87  96    1        1   
  87  102   1        -1  
  89  155   1        -1  
  92  105   1        -1  
  92  115   1        -1  
  95  116   1        -1  
  100 102   1        0   
  100 106   1        1   
  109 115   1        0   
  110 122   1        1   
  118 131   1        -1  
  119 127   1        -1  
  119 132   1        0   
  126 142   1        1   
  135 150   1        0   
  136 158   1        -1  
  142 167   1        -1  
  145 156   1        -1  
  147 158   1        1   
  153 164   1        0   
End
