NMec = 98491
T = 28
P = 8
Profits ignored
Solution time = 3.434e-01
Programing Tasks = 15
Terminal Cases = 10290
Task date  Profit    P
  0   13    1        0   
  0   32    1        -1  
  0   32    1        -1  
  3   19    1        1   
  4   11    1        2   
  4   23    1        -1  
  4   31    1        -1  
  5   15    1        3   
  6   24    1        -1  
  6   28    1        -1  
  7   25    1        -1  
  8   16    1        4   
  10  25    1        -1  
  11  24    1        -1  
  11  29    1        -1  
  12  25    1        -1  
  12  28    1        -1  
  13  17    1        2   
  13  25    1        -1  
  14  27    1        0   
  15  30    1        5   
  17  26    1        3   
  17  26    1        4   
  18  24    1        2   
  19  29    1        6   
  20  31    1        1   
  23  32    1        7   
  25  33    1        2   
End
