NMec = 98491
T = 40
P = 2
Profits ignored
Solution time = 1.047e+02
Programing Tasks = 22
Terminal Cases = 8964
Task date  Profit    P
  3   16    1        0   
  7   20    1        1   
  9   28    1        -1  
  16  33    1        -1  
  17  23    1        0   
  23  38    1        1   
  39  49    1        0   
  43  53    1        1   
  45  56    1        -1  
  45  56    1        -1  
  47  58    1        -1  
  51  59    1        0   
  54  64    1        1   
  58  69    1        -1  
  67  87    1        0   
  71  92    1        1   
  85  94    1        -1  
  90  98    1        0   
  91  102   1        -1  
  97  108   1        1   
  97  111   1        -1  
  102 116   1        0   
  108 118   1        -1  
  116 128   1        1   
  117 134   1        0   
  118 133   1        -1  
  124 129   1        -1  
  130 141   1        1   
  133 149   1        -1  
  141 146   1        0   
  146 160   1        1   
  146 165   1        -1  
  150 175   1        0   
  151 155   1        -1  
  153 160   1        -1  
  153 174   1        -1  
  160 175   1        -1  
  174 192   1        1   
  186 199   1        0   
  190 196   1        -1  
End
