NMec = 98491
T = 40
P = 5
Profits ignored
Solution time = 2.535e+02
Programing Tasks = 23
Terminal Cases = 980
Task date  Profit    P
  2   72    1        -1  
  3   70    1        -1  
  4   13    1        0   
  5   11    1        1   
  5   13    1        2   
  7   25    1        -1  
  7   63    1        -1  
  8   21    1        3   
  9   76    1        -1  
  10  25    1        4   
  10  29    1        -1  
  13  20    1        1   
  17  30    1        0   
  20  35    1        2   
  21  28    1        1   
  22  45    1        -1  
  24  32    1        3   
  26  32    1        4   
  28  49    1        -1  
  29  50    1        -1  
  30  42    1        -1  
  30  43    1        -1  
  31  44    1        0   
  31  45    1        1   
  36  54    1        2   
  39  42    1        3   
  42  63    1        4   
  44  68    1        -1  
  47  76    1        -1  
  52  64    1        -1  
  52  75    1        -1  
  56  73    1        -1  
  59  67    1        0   
  60  71    1        -1  
  60  74    1        1   
  61  72    1        2   
  63  64    1        3   
  64  72    1        4   
  65  69    1        3   
  68  70    1        0   
End
