NMec = 98491
T = 40
P = 7
Profits ignored
Solution time = 4.072e+02
Programing Tasks = 24
Terminal Cases = 258
Task date  Profit    P
  0   17    1        0   
  1   24    1        1   
  3   28    1        -1  
  9   32    1        -1  
  10  24    1        2   
  11  23    1        3   
  12  19    1        4   
  13  21    1        5   
  14  38    1        -1  
  16  29    1        -1  
  16  36    1        -1  
  18  30    1        -1  
  18  33    1        -1  
  18  35    1        -1  
  19  25    1        0   
  19  30    1        -1  
  20  30    1        -1  
  20  34    1        -1  
  21  32    1        4   
  21  33    1        6   
  22  34    1        -1  
  23  36    1        5   
  24  34    1        3   
  24  37    1        -1  
  24  42    1        -1  
  25  32    1        1   
  28  31    1        0   
  28  37    1        2   
  29  43    1        -1  
  32  51    1        -1  
  33  42    1        0   
  33  45    1        1   
  34  41    1        4   
  34  49    1        6   
  35  44    1        3   
  37  51    1        5   
  41  46    1        2   
  43  48    1        0   
  45  50    1        3   
  47  55    1        1   
End
