NMec = 98491
T = 28
P = 7
Profits ignored
Solution time = 7.793e-01
Programing Tasks = 19
Terminal Cases = 4235
Task date  Profit    P
  0   4     1        0   
  0   9     1        -1  
  0   11    1        -1  
  0   26    1        -1  
  1   5     1        1   
  1   19    1        2   
  4   8     1        3   
  4   24    1        -1  
  4   27    1        -1  
  5   19    1        0   
  7   12    1        1   
  7   14    1        4   
  7   20    1        5   
  7   22    1        6   
  11  26    1        -1  
  12  28    1        -1  
  13  29    1        -1  
  16  31    1        -1  
  17  25    1        1   
  17  28    1        3   
  18  25    1        4   
  20  24    1        0   
  22  33    1        2   
  24  28    1        5   
  24  31    1        6   
  25  35    1        0   
  29  35    1        1   
  29  39    1        3   
End
