NMec = 98491
T = 36
P = 8
Profits ignored
Solution time = 1.507e+02
Programing Tasks = 22
Terminal Cases = 68147
Task date  Profit    P
  0   11    1        -1  
  0   14    1        -1  
  1   10    1        0   
  1   33    1        -1  
  4   14    1        1   
  4   18    1        2   
  5   17    1        3   
  5   23    1        4   
  7   28    1        -1  
  8   30    1        -1  
  9   10    1        5   
  9   12    1        6   
  9   20    1        7   
  9   34    1        -1  
  10  29    1        -1  
  12  15    1        0   
  12  22    1        5   
  12  37    1        -1  
  14  37    1        -1  
  15  29    1        -1  
  17  22    1        0   
  17  33    1        -1  
  18  34    1        -1  
  19  31    1        -1  
  20  33    1        -1  
  21  29    1        1   
  21  30    1        2   
  22  39    1        3   
  24  35    1        0   
  25  28    1        4   
  26  32    1        5   
  27  41    1        6   
  28  40    1        7   
  29  38    1        4   
  33  35    1        1   
  33  43    1        2   
End
