NMec = 98491
T = 29
P = 6
Profits ignored
Solution time = 1.171e+00
Programing Tasks = 21
Terminal Cases = 81
Task date  Profit    P
  0   14    1        -1  
  0   16    1        -1  
  0   46    1        -1  
  1   12    1        0   
  2   7     1        1   
  6   21    1        2   
  7   12    1        3   
  7   26    1        -1  
  8   15    1        1   
  8   26    1        -1  
  9   14    1        4   
  9   19    1        5   
  10  23    1        -1  
  10  28    1        -1  
  13  20    1        0   
  16  20    1        1   
  16  21    1        3   
  19  44    1        -1  
  20  26    1        4   
  22  28    1        0   
  22  37    1        1   
  22  41    1        2   
  23  30    1        3   
  23  45    1        5   
  31  38    1        0   
  33  45    1        3   
  34  46    1        4   
  38  45    1        1   
  46  48    1        0   
End
