NMec = 98491
T = 28
P = 2
Profits ignored
Solution time = 1.962e-02
Programing Tasks = 15
Terminal Cases = 75
Task date  Profit    P
  0   9     1        0   
  1   17    1        -1  
  7   24    1        1   
  12  35    1        -1  
  14  26    1        0   
  18  34    1        -1  
  21  40    1        -1  
  29  48    1        -1  
  30  38    1        0   
  32  48    1        1   
  34  54    1        -1  
  38  53    1        -1  
  42  50    1        0   
  45  55    1        -1  
  46  57    1        -1  
  49  56    1        -1  
  49  58    1        1   
  50  71    1        -1  
  53  59    1        0   
  60  74    1        -1  
  61  75    1        0   
  62  69    1        1   
  87  89    1        0   
  88  98    1        1   
  93  119   1        -1  
  95  100   1        0   
  109 115   1        0   
  109 118   1        1   
End
