NMec = 98491
T = 38
P = 2
Profits ignored
Solution time = 9.251e+00
Programing Tasks = 22
Terminal Cases = 216
Task date  Profit    P
  0   10    1        -1  
  1   8     1        0   
  2   22    1        -1  
  4   19    1        1   
  9   15    1        0   
  20  121   1        -1  
  31  36    1        0   
  35  176   1        -1  
  37  41    1        0   
  41  66    1        -1  
  47  63    1        -1  
  49  66    1        -1  
  51  56    1        0   
  53  65    1        1   
  61  73    1        -1  
  64  69    1        0   
  66  79    1        1   
  73  77    1        0   
  79  91    1        -1  
  82  97    1        0   
  83  143   1        -1  
  91  103   1        1   
  101 106   1        0   
  106 130   1        -1  
  107 127   1        -1  
  109 117   1        0   
  115 122   1        1   
  118 127   1        0   
  136 144   1        0   
  141 165   1        1   
  154 169   1        -1  
  157 162   1        0   
  160 172   1        -1  
  161 171   1        -1  
  165 180   1        -1  
  166 170   1        0   
  167 181   1        1   
  180 186   1        0   
End
