NMec = 98491
T = 28
P = 3
Profits ignored
Solution time = 1.550e-02
Programing Tasks = 16
Terminal Cases = 16
Task date  Profit    P
  1   11    1        0   
  4   90    1        -1  
  6   9     1        1   
  7   64    1        -1  
  10  86    1        -1  
  10  89    1        -1  
  15  22    1        0   
  16  93    1        -1  
  24  37    1        -1  
  24  76    1        -1  
  25  37    1        0   
  27  43    1        1   
  28  55    1        -1  
  29  38    1        2   
  30  92    1        -1  
  41  53    1        -1  
  43  50    1        0   
  44  64    1        -1  
  48  60    1        1   
  49  70    1        -1  
  50  53    1        2   
  57  68    1        0   
  62  70    1        1   
  63  69    1        2   
  69  76    1        0   
  70  90    1        2   
  75  93    1        1   
  78  90    1        0   
End
