NMec = 98491
T = 35
P = 1
Profits ignored
Solution time = 6.958e-02
Programing Tasks = 15
Terminal Cases = 1152
Task date  Profit    P
  16  32    1        -1  
  25  48    1        -1  
  26  34    1        -1  
  26  38    1        0   
  28  45    1        -1  
  33  48    1        -1  
  39  46    1        0   
  51  57    1        -1  
  53  55    1        0   
  74  84    1        0   
  99  105   1        0   
  109 123   1        -1  
  112 119   1        -1  
  114 121   1        0   
  132 145   1        -1  
  134 144   1        -1  
  136 159   1        0   
  168 171   1        0   
  170 189   1        -1  
  177 184   1        0   
  177 200   1        -1  
  182 192   1        -1  
  186 187   1        0   
  188 264   1        -1  
  204 223   1        -1  
  207 224   1        0   
  233 316   1        -1  
  237 257   1        -1  
  243 252   1        0   
  251 304   1        -1  
  264 284   1        -1  
  265 276   1        0   
  308 320   1        0   
  325 348   1        -1  
  333 344   1        0   
End
