NMec = 98491
T = 33
P = 3
Profits ignored
Solution time = 4.883e-01
Programing Tasks = 17
Terminal Cases = 5356
Task date  Profit    P
  2   65    1        -1  
  3   23    1        -1  
  9   106   1        -1  
  11  27    1        -1  
  12  17    1        0   
  12  24    1        -1  
  12  31    1        -1  
  13  21    1        1   
  17  29    1        2   
  21  23    1        0   
  23  27    1        1   
  24  35    1        -1  
  24  37    1        -1  
  27  41    1        -1  
  28  35    1        -1  
  29  50    1        -1  
  29  54    1        0   
  30  37    1        1   
  33  49    1        2   
  44  61    1        -1  
  45  68    1        -1  
  48  62    1        1   
  49  87    1        -1  
  53  66    1        -1  
  59  67    1        0   
  61  74    1        2   
  64  71    1        1   
  72  86    1        -1  
  73  82    1        0   
  73  85    1        1   
  76  86    1        2   
  83  90    1        0   
  93  100   1        0   
End
