NMec = 98491
T = 29
P = 4
Profits ignored
Solution time = 4.356e-01
Programing Tasks = 18
Terminal Cases = 205
Task date  Profit    P
  3   13    1        0   
  4   24    1        -1  
  5   13    1        1   
  7   14    1        2   
  8   57    1        -1  
  9   42    1        -1  
  11  33    1        -1  
  12  18    1        3   
  14  38    1        -1  
  20  22    1        0   
  22  29    1        1   
  22  43    1        2   
  23  35    1        0   
  24  41    1        3   
  25  49    1        -1  
  33  61    1        -1  
  34  40    1        1   
  38  48    1        -1  
  40  55    1        0   
  45  62    1        1   
  46  52    1        2   
  46  56    1        3   
  52  71    1        -1  
  53  67    1        -1  
  55  69    1        -1  
  57  68    1        0   
  57  70    1        2   
  62  72    1        3   
  65  67    1        1   
End
