NMec = 98491
T = 34
P = 5
Profits ignored
Solution time = 1.609e+01
Programing Tasks = 22
Terminal Cases = 754
Task date  Profit    P
  0   18    1        0   
  0   21    1        -1  
  2   13    1        1   
  3   34    1        -1  
  3   66    1        -1  
  6   11    1        2   
  9   19    1        3   
  10  32    1        -1  
  11  23    1        4   
  13  66    1        -1  
  14  19    1        1   
  18  20    1        2   
  19  24    1        0   
  20  29    1        1   
  20  47    1        -1  
  21  30    1        2   
  21  37    1        3   
  26  41    1        -1  
  27  45    1        -1  
  31  45    1        0   
  33  41    1        1   
  35  50    1        2   
  35  57    1        -1  
  35  60    1        -1  
  39  45    1        3   
  41  45    1        4   
  43  62    1        -1  
  45  61    1        -1  
  48  57    1        0   
  48  64    1        1   
  49  63    1        3   
  50  66    1        4   
  51  58    1        2   
  63  65    1        0   
End
