NMec = 98491
T = 27
P = 2
Profits ignored
Solution time = 1.161e-02
Programing Tasks = 17
Terminal Cases = 5
Task date  Profit    P
  8   25    1        -1  
  12  51    1        -1  
  14  39    1        -1  
  16  25    1        0   
  17  134   1        -1  
  21  30    1        -1  
  22  29    1        1   
  28  29    1        0   
  30  48    1        0   
  31  43    1        1   
  35  53    1        -1  
  37  56    1        -1  
  45  60    1        -1  
  46  53    1        1   
  48  57    1        -1  
  51  123   1        -1  
  52  59    1        0   
  55  64    1        1   
  63  71    1        0   
  77  79    1        0   
  78  91    1        1   
  103 105   1        0   
  105 118   1        1   
  111 115   1        0   
  116 126   1        0   
  121 131   1        1   
  130 133   1        0   
End
