NMec = 98629
T = 15
P = 4
Profits not ignored
Solution time = 1.422e-04
Best Profit = 17990
Terminal Cases = 13024
Task date  Profit    P
  0   3     449      0   
  3   34    2174     1   
  4   7     1078     0   
  4   10    687      2   
  6   34    5059     3   
  9   26    2563     0   
  11  22    1778     2   
  12  28    2356     -1  
  13  28    3436     -1  
  18  36    3419     -1  
  20  37    2704     -1  
  22  33    3275     -1  
  28  33    469      0   
  28  35    832      2   
  35  36    467      0   
End
