NMec = 98629
T = 26
P = 2
Profits not ignored
Solution time = 1.130e-02
Best Profit = 32521
Terminal Cases = 1386480
Task date  Profit    P
  1   24    5205     0   
  4   13    1995     1   
  5   12    1535     -1  
  5   13    1133     -1  
  7   25    2017     -1  
  15  26    2126     1   
  21  33    1126     -1  
  22  35    1305     -1  
  29  41    2095     0   
  30  44    1633     1   
  34  41    775      -1  
  37  126   6509     -1  
  38  51    2186     -1  
  50  67    1466     0   
  55  78    4317     1   
  57  71    1041     -1  
  62  70    929      -1  
  63  89    2471     -1  
  64  69    824      -1  
  65  81    2635     -1  
  81  96    4620     0   
  87  99    1225     1   
  99  112   1629     0   
  101 114   1972     1   
  120 124   1224     0   
  122 129   1292     1   
End
