NMec = 98629
T = 23
P = 3
Profits not ignored
Solution time = 8.455e-03
Best Profit = 28514
Terminal Cases = 981808
Task date  Profit    P
  0   60    7127     0   
  2   4     479      1   
  7   20    1827     1   
  11  22    2541     2   
  14  16    197      -1  
  15  18    351      -1  
  19  35    2659     -1  
  19  46    6192     -1  
  23  42    3338     1   
  24  34    1072     2   
  26  43    3178     -1  
  36  44    659      2   
  36  62    2207     -1  
  37  53    2726     -1  
  38  54    2042     -1  
  40  46    1066     -1  
  43  55    1271     1   
  49  64    2390     2   
  55  70    1364     -1  
  59  63    728      1   
  60  68    1495     -1  
  65  69    624      0   
  66  76    2706     1   
End
