NMec = 98629
T = 37
P = 7
Profits not ignored
Solution time = 2.471e+02
Best Profit = 46615
Terminal Cases = 19047225558
Task date  Profit    P
  0   11    1096     0   
  0   15    3389     1   
  0   18    3720     2   
  0   51    6260     3   
  1   20    2833     4   
  4   15    2563     5   
  5   15    993      6   
  6   8     281      -1  
  6   20    1921     -1  
  6   28    2733     -1  
  9   17    1057     -1  
  9   22    1857     -1  
  10  17    872      -1  
  10  28    2456     -1  
  11  29    2088     -1  
  17  21    594      0   
  18  34    1192     1   
  19  26    1071     2   
  20  28    2029     5   
  20  37    3201     6   
  23  31    1596     0   
  23  39    2071     4   
  23  40    1387     -1  
  23  45    3148     -1  
  24  33    1246     -1  
  24  46    4793     -1  
  25  35    1546     -1  
  26  30    566      -1  
  26  32    1239     -1  
  28  39    2166     2   
  28  40    1222     -1  
  32  43    1122     0   
  32  48    1880     5   
  33  41    1129     -1  
  36  40    595      1   
  37  46    1858     -1  
  40  52    1938     2   
End
