NMec = 98629
T = 20
P = 2
Profits not ignored
Solution time = 5.909e-04
Best Profit = 27383
Terminal Cases = 70568
Task date  Profit    P
  4   21    1144     0   
  6   15    935      1   
  11  21    2537     -1  
  13  21    1090     -1  
  21  42    3022     1   
  24  79    14350    0   
  29  34    782      -1  
  32  48    2199     -1  
  36  47    1537     -1  
  38  72    3902     -1  
  44  81    2928     1   
  50  65    2018     -1  
  52  67    2967     -1  
  56  65    1490     -1  
  60  68    623      -1  
  66  73    898      -1  
  74  84    1911     -1  
  79  87    725      -1  
  87  92    991      0   
  90  93    670      1   
End
