NMec = 98629
T = 20
P = 7
Profits not ignored
Solution time = 8.914e-03
Best Profit = 24648
Terminal Cases = 540480
Task date  Profit    P
  0   28    3168     0   
  1   2     391      1   
  1   13    2103     2   
  3   27    2082     1   
  5   18    1555     3   
  5   29    2467     4   
  7   9     331      5   
  9   15    1240     6   
  10  19    2030     5   
  12  29    1848     -1  
  13  22    2063     -1  
  13  23    1416     -1  
  13  24    1307     -1  
  13  26    2923     -1  
  15  26    2885     2   
  15  26    1382     -1  
  17  27    2059     6   
  17  29    3735     -1  
  19  26    858      3   
  24  28    929      5   
End
